base_family,arm,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
mistral,low-numeric,9,3.3333333333333335,0.03142696805273545,10,1.947863660399817
mistral,low-numeric,10,4,0.03063121944908938,10,1.8985426509643821
mistral,low-numeric,11,5,0.03600411499115478,10,2.2315581668089792
mistral,high-numeric,1,20,0,10,0
mistral,high-numeric,2,19,0.016101529717988276,10,0.9979831513459391
mistral,high-numeric,3,10.666666666666666,0.04097575314352394,10,2.539703491977064
mistral,high-numeric,4,19.333333333333332,0.014054567378526138,10,0.8711111111111115
mistral,high-numeric,5,18,0.02330686329267004,10,1.4445743531325745
mistral,high-numeric,6,4,0.03063121944908938,10,1.8985426509643821
mistral,high-numeric,7,1,0.016101529717988266,10,0.9979831513459384
mistral,high-numeric,8,0.6666666666666666,0.01405456737852613,10,0.871111111111111
mistral,high-numeric,9,0.6666666666666666,0.01405456737852613,10,0.871111111111111
mistral,high-numeric,10,3,0.010540925533894597,10,0.6533333333333332
mistral,high-numeric,11,3.6666666666666665,0.01892154040658489,10,1.1727692246648476
gemma3,context,1,20,0,50,0
gemma3,context,2,0,0,50,0
gemma3,context,3,0,0,50,0
gemma3,context,4,20,0,50,0
gemma3,context,5,0,0,50,0
gemma3,context,6,2.533333333333333,0.02740475156178697,50,0.7596209581100299
gemma3,context,7,17.333333333333336,0.027766437594501436,50,0.76964638344863
gemma3,context,8,13.4,0.022827361550870253,50,0.6327421802493229
gemma3,context,9,6.6000000000000005,0.022827361550870257,50,0.6327421802493229
gemma3,context,10,0.8,0.01587936381003149,50,0.44015350857525953
gemma3,context,11,19.333333333333332,0.013468700594029485,50,0.3733333333333336
gemma3,word,1,20,0,10,0
gemma3,word,2,0,0,10,0
gemma3,word,3,0,0,10,0
gemma3,word,4,18.333333333333336,0.017568209223157674,10,1.0888888888888895
gemma3,word,5,1,0.02249828525701843,10,1.3944581672631537
gemma3,word,6,4,0.03063121944908938,10,1.8985426509643821
gemma3,word,7,9,0.027442420078285488,10,1.70089881830856
gemma3,word,8,19,0.016101529717988276,10,0.9979831513459391
gemma3,word,9,3.3333333333333335,0.02721655269759087,10,1.686899413014786
gemma3,word,10,12,0.02330686329267003,10,1.4445743531325739
gemma3,word,11,13.333333333333334,0.02721655269759086,10,1.6868994130147856
gemma3,example,1,20,0,10,0
gemma3,example,2,0,0,10,0
gemma3,example,3,0.3333333333333333,0.010540925533894597,10,0.6533333333333332
gemma3,example,4,17.666666666666668,0.0316227766016838,10,1.96
gemma3,example,5,4,0.03442651863295482,10,2.133777731491124
gemma3,example,6,8,0.04499657051403686,10,2.7889163345263075
gemma3,example,7,8.666666666666668,0.03912625969257558,10,2.425070700254854
gemma3,example,8,13.333333333333334,0.03142696805273544,10,1.9478636603998165
gemma3,example,9,4,0.02629368792488718,10,1.6296996617948718
gemma3,example,10,7.333333333333333,0.030631219449089385,10,1.8985426509643821
gemma3,example,11,16.666666666666664,0.031426968052735454,10,1.9478636603998172
gemma3,low-numeric,1,20,0,10,0
gemma3,low-numeric,2,0,0,10,0
gemma3,low-numeric,3,1,0.016101529717988266,10,0.9979831513459384
gemma3,low-numeric,4,19.333333333333332,0.014054567378526138,10,0.8711111111111115
gemma3,low-numeric,5,1.3333333333333333,0.023306863292670035,10,1.444574353132574
gemma3,low-numeric,6,4,0.021081851067789193,10,1.3066666666666664
gemma3,low-numeric,7,10.666666666666668,0.021081851067789193,10,1.3066666666666664
